="Predictors of Unprotected Sex at Last Intercourse."
="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",=""
="",="",="",="nocondlast",="",="nocondlast",="",="nocondlast",="",="nocondlast",=""
="",="b",="ci95",="b",="ci95",="b",="ci95",="b",="ci95",="b",="ci95"
="nocondlast",="",="",="",="",="",="",="",="",="",=""
="0",="1.00",="(1.00 - 1.00)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)"
="1",="1.75***",="(1.59 - 1.92)",="1.33***",="(1.20 - 1.48)",="1.25***",="(1.12 - 1.40)",="1.25***",="(1.12 - 1.40)",="1.24***",="(1.11 - 1.38)"
="No",="1.00",="(1.00 - 1.00)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)"
="Yes",="0.79***",="(0.72 - 0.87)",="1.08",="(0.98 - 1.19)",="1.07",="(0.97 - 1.18)",="1.07",="(0.97 - 1.18)",="1.07",="(0.97 - 1.18)"
="Primary",="1.00",="(1.00 - 1.00)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)"
="Secondary",="0.79***",="(0.74 - 0.84)",="0.99",="(0.93 - 1.06)",="1.00",="(0.93 - 1.06)",="1.00",="(0.94 - 1.06)",="1.05",="(0.98 - 1.12)"
="Higher",="0.50***",="(0.44 - 0.58)",="0.79**",="(0.67 - 0.92)",="0.81**",="(0.69 - 0.95)",="0.81*",="(0.69 - 0.95)",="0.89",="(0.76 - 1.05)"
="No",="1.00",="(1.00 - 1.00)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)"
="Yes",="0.78***",="(0.71 - 0.86)",="0.89*",="(0.81 - 0.98)",="0.89*",="(0.82 - 0.98)",="0.89*",="(0.82 - 0.98)",="0.91*",="(0.83 - 1.00)"
="Unmarried",="1.00",="(1.00 - 1.00)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)"
="Married",="1.89***",="(1.78 - 2.01)",="1.59***",="(1.48 - 1.71)",="1.56***",="(1.43 - 1.70)",="1.55***",="(1.42 - 1.69)",="1.59***",="(1.46 - 1.73)"
="0% - 10%",="1.00",="(1.00 - 1.00)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)",="1.00",="(. - .)"
