="Robustness Checks."
="",="(1)",="",="(2)",="",="(3)",=""
="",="nocondlast",="",="nocondlast",="",="nocondlast",=""
="",="b",="ci95",="b",="ci95",="b",="ci95"
="main",="",="",="",="",="",=""
="0",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="1",="0.21***",="(0.10 - 0.32)",="0.46***",="(0.23 - 0.70)",="0.11***",="(0.06 - 0.16)"
="No",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="Yes",="0.07",="(-0.03 - 0.16)",="0.14",="(-0.11 - 0.38)",="0.03",="(-0.02 - 0.08)"
="Primary",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="Secondary",="0.05",="(-0.02 - 0.11)",="0.17",="(-0.10 - 0.45)",="0.03",="(-0.02 - 0.07)"
="Higher",="-0.11",="(-0.27 - 0.04)",="-0.09",="(-0.47 - 0.30)",="-0.03",="(-0.11 - 0.04)"
="No",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="Yes",="-0.09*",="(-0.18 - -0.00)",="-0.26*",="(-0.50 - -0.03)",="-0.05*",="(-0.10 - -0.00)"
="Unmarried",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="Married",="0.46***",="(0.38 - 0.55)",="1.66***",="(1.37 - 1.95)",="0.31***",="(0.26 - 0.36)"
="0% - 10%",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="10% - 20%",="0.20**",="(0.07 - 0.32)",="0.42**",="(0.15 - 0.69)",="0.09**",="(0.03 - 0.14)"
="{&ge}20%",="0.27***",="(0.15 - 0.39)",="0.64***",="(0.37 - 0.90)",="0.13***",="(0.08 - 0.18)"
="Number of lifetime sex partners (units of 5)",="-0.10*",="(-0.19 - -0.01)",="-0.20*",="(-0.39 - -0.01)",="-0.03**",="(-0.05 - -0.01)"
="Number of times engaged in sex in last 30 days (units of 5)",="-0.03*",="(-0.06 - -0.00)",="-0.10",="(-0.21 - 0.02)",="-0.02",="(-0.03 - 0.00)"
="Number of lifetime sex partners (units of 5) # Number of times engaged in sex in last 30 days (units of 5)",="0.04*",="(0.00 - 0.07)",="0.08",="(-0.00 - 0.17)",="0.01*",="(0.00 - 0.02)"
="None",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="1 or more",="0.14**",="(0.04 - 0.23)",="0.30*",="(0.05 - 0.54)",="0.07**",="(0.02 - 0.12)"
="No",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="Yes",="-0.10*",="(-0.19 - -0.01)",="-0.25*",="(-0.48 - -0.02)",="-0.05*",="(-0.10 - -0.00)"
="None/Traditional",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="Modern Method",="0.01",="(-0.08 - 0.09)",="0.03",="(-0.20 - 0.26)",="0.00",="(-0.04 - 0.05)"
="LARC/LAPM Method",="0.05",="(-0.05 - 0.16)",="0.29",="(-0.08 - 0.65)",="0.04",="(-0.02 - 0.11)"
="< 2.5 km",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
=">= 2.5 km",="0.04",="(-0.03 - 0.11)",="0.17",="(-0.11 - 0.45)",="0.03",="(-0.02 - 0.07)"
="ncontknow=0",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="ncontknow=1",="0.03",="(-0.04 - 0.09)",="0.05",="(-0.15 - 0.25)",="0.01",="(-0.03 - 0.05)"
="No",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="Yes",="-0.14**",="(-0.22 - -0.05)",="-0.38**",="(-0.62 - -0.14)",="-0.08**",="(-0.12 - -0.03)"
="No",="0.00",="(. - .)",="0.00",="(. - .)",="0.00",="(. - .)"
="Yes",="-0.18***",="(-0.26 - -0.10)",="-0.51***",="(-0.76 - -0.26)",="-0.10***",="(-0.15 - -0.05)"
="Negative perception of condom use index",="0.06***",="(0.03 - 0.08)",="0.23***",="(0.13 - 0.33)",="0.04***",="(0.02 - 0.06)"
="Constant",="-0.86***",="(-1.03 - -0.68)",="-0.20",="(-0.65 - 0.25)",="0.44***",="(0.36 - 0.53)"
="Observations",="2388",="",="2388",="",="2388",=""
="ll",=".",="",=".",="",=".",=""
="chi2",=".",="",=".",="",="",=""
